id,question 1,question 2,label
1,"Cơ quan làm công tác thi đua, khen thưởng trong ngành Công thương có trách nhiệm gì?","Trách nhiệm của cơ quan làm công tác thi đua , khen thưởng trong ngành Công thương",1
2,"Các cơ quan báo chí ngành Công Thương có trách nhiệm gì trong công tác thi đua, khen thưởng?",Trách nhiệm của cơ quan báo chí ngành Công thương trong thi đua khen thưởng,1
3,"Ai có thẩm quyền cử cán bộ công đoàn đi đào tạo,bồi dưỡng?","Người nào có thẩm quyền cử cán bộ công đoàn đi đạo tạo, bồi dưỡng",1
4,Trong ngành Công Thương có các danh hiệu thi đua nào dành cho cá nhân?,Danh hiệu thi đua không cho cá nhân trong ngành Công thương,0
5,"Chi đào tạo, bồi dưỡng cho cán bộ công đoàn được quy định ra sao?","Thế nào là chi đào tạo, bôi dưỡng cán bộ công đoàn",1
6,"Có các hình thức khen thưởng nào đối với cá nhân, tập thể ngành công thương?","Có bao nhiêu cách khen thưởng cá nhân, tập thể ngành công thương",1
7,"Đăng ký tổ chức hội chợ, triển lãm thương mại ở đâu?","Nơi đăng kí ổ chức hội chợ, triển lãm thương mại",1
8,Hình thức khen thưởng ngành Công thương,Khen thưởng trong ngành công thương là gì,0
9,DN kinh doanh dịch vụ kế toán nước ngoài báo cáo không đầy đủ nội dung tình hình cung cấp dịch vụ kế toán qua biên giới cho BTC bị xử phạt ra sao?,Mức phạt cho DN kinh doanh dịch vụ kế toán nước ngoài báo cáo không đủ nội dung cung cấp dịch vụ kế toán qua biên giới cho BTC là bao nhiêu,1
10,Cơ chế hoạt động của Hội đồng giám sát xổ số được quy định như thế nào?,Hội đồng giám sát xổ số là gì,0
11,Đối tượng nào được Quỹ đổi mới công nghệ quốc gia hỗ trợ tài chính?,Ai là người được Quỹ đổi mới công nghệ quốc gia hỗ trợ kinh tế,1
12,Chủ tịch Hội đồng giám sát xổ số được quy định như thế nào?,Chủ tịch Hội đồng giám sát xổ số có quyền gì,0
13,Thành viên Hội đồng giám sát xổ số được quy định như thế nào?,Ai mới đủ điều kiện để là Thành viên Hội đồng giám sát xổ số,1
14,Nhiệm vụ của Hội đồng giám sát xổ số được quy định như thế nào?,Hình thức hoạt động của Hội đồng giám sát xổ số,0
15,Quyền hạn của Hội đồng giám sát xổ số được quy định ra sao?,Hội đồng giám sát xổ số được phép quyết định những gì,1
16,Hội đồng khoa học và công nghệ do Hội đồng quản lý Quỹ đổi mới công nghệ quốc gia quyết định thành lập như thế nào?,Nhiệm vụ của Hội đồng khoa học và công nghệ là gì,0
17,DN kinh doanh dịch vụ kế toán nước ngoài không báo cáo việc thực hiện hợp đồng cung cấp DVKT qua biên giới bị xử phạt ra sao?,Mức phạt cho DN kinh doanh dịch vụ kế toán nước ngoài không báo cáo cung cấp dịch vụ kế toán qua biên giới cho BTC là bao nhiêu,1
18,DN kinh doanh dịch vụ kế toán nước ngoài thực hiện các hành vi bị nghiêm cấm trong hoạt động cung cấp dịch vụ kế toán bị xử phạt ra sao?,Mức phạt cho DN kinh doanh dịch vụ kế toán nước ngoài có hành vi vi phạm điều cấm trong hoạt động cung cấp dịch vụ là gì,1
19,Tăng cường công tác quản lý và nâng cao đạo đức nhà giáo được quy định như thế nào đối với các sở giáo dục và đào tạo?,Quy định về tăng cường quản lý nâng cao đạo đức nhà giáo trong sở giáo dục và đào tạo là gì,1
20,"Thời hạn không được kinh doanh của cán bộ, công chức, viên chức sau khi thôi giữ chức vụ là gì?","Cán bộ, công chức, viên chức phải mất bao lâu mới được hoạt động kinh doanh sau khi thôi giữ chức vụ",1
21,"Vị trí, chức năng của Sở y tế là gì?",Sở y tế có tác dụng là gì,1
22,Nhiệm vụ và quyền hạn của Sở y tế đối với Ủy ban nhân dân cấp tỉnh là gì?,Sở y tế và Uỷ ban nhân dân cấp tỉnh có trách nhiệm gì với nhau,0
23,Trường hợp đối chất trong tố tụng dân sự 2004 được quy định như thế nào?,Tố tụng dân sự 2004 là gì,0
24,Sở y tế cần phải trình những dự thảo nào lên Chủ tịch Ủy ban nhân dân cấp tỉnh?,Dự thảo mà sở y tế cần phải cung cấp cho Chủ tịch uỷ ban nhân dân tỉnh là gì,1
25,"Nhiệm vụ và quyền hạn của Sở y tế về truyền thông, giáo dục sức khỏe là gì?","Quyền và nghĩa vụ của Sở y tế với truyền thông, giáo dục sức khoẻ",1
26,Nhiệm vụ và quyền hạn của Sở y tế đối với công tác y tế dự phòng là gì?,Quyền và nghĩa vụ của Sở y tế với công tác y tế dự phòng ,1
27,Biện pháp bảo đảm thực hiện nghĩa vụ dân sự theo Bộ luật Dân sự 1995 gồm những biện pháp nào?,Cách để thực hiện đúng nghĩa vụ dân sự theo Bộ luật Dân sự 1995,1
28,"Nhiệm vụ và quyền hạn của Sở y tế trong việc khám bệnh, chữa bệnh và phục hồi chức năng là gì?","Trách nhiệm của Sở y tế trong việc khám, chữa bệnh và phục hồi chức năng là gì",1
29,Tiền môi giới đi làm việc ở nước ngoài theo hợp đồng được quy định như thế nào?,Định nghĩa tiền môi giới đi làm việc ở nước ngoài theo hợp đồng,0
